Words,Reading,Meaning,Ext,Remarks,Expression,Translation
見る,みる,"to see, look, watch, view",Vdict + no ga suki desu,【I like to】,サッカーを見るのが好きです,I like to watch soccer.
乗る,のる,"to get on, board",Vdict + no ga kirai desu,【I hate to】,自転車に乗るのが嫌いです,I hate riding my bike.
弾く,ひく,to play,Vdict + no ga tokui desu,【I am good at】,ピアノを弾くのが得意です,I'm good at playing the piano.
作る,つくる,to make,Vdict + no ga jouzu desu,【I am good at】,彼女はジャム作るのがとても上手だ,She's very good at making jam.
描く,えがく,"to draw, paint, sketch",Vdict + no ga nigate desu,【I am not good at】,絵を描くのが苦手です,I'm not good at drawing.
覚える,おぼえる,"to memorize, remember",Vdict + no ga heta desu,【I am bad at】,彼は名前を覚えるのが下手だ,He's terrible at remembering names.
行く,いく,to go,Vdict + tsumori,【I intend to】,パーティーに行くつもりです,I intend to go to the party.
寝る,ねる,"to lie down, sleep, go to bed",Vdict + mae ni,【Before doing】,寝る前に本を読みます,I read a book before going to bed.
持つ,もつ,"to hold, take, carry",Vnoun + mashouka,【Shall I・Shall we】,荷物を持ちましょうか,Shall I carry your luggage?
見る,みる,"to see, look, watch, view",Vnoun + ni ikimasu,【Go to do】,新宿に映画を見に行きます　,I'm going to Shinjuku to see a movie.　
食べる,たべる,to eat,Vnoun + sugiru,【Too much】,昨日ケーキを食べすぎました　,I ate too much cake yesterday.　
知る,しる,to know,Vnoun + tai,【I want to】,あなたの秘密が知りたいだけです,I just want to know your secret.
集中する,しゅうちゅうする,"to concentrate, focus",Vte + hoshii,【I want you to】,慎重に聞いて集中して欲しい,I want you to listen carefully and focus.
話す,はなす,"to talk, speak, tell",Vte + kudasai,【Please do】,ゆっくり話してください　,Please speak slowly.
書く,かく,"to write, compose",Vte + moraemasen ka,【Could I have you】,ひらがなで書いてもらえませんか,Could you please write it in hiragana?
食べる,たべる,to eat,Vte + .. Verb,【Do and do】,渋谷に行ってご飯を食べる　,Go to Shibuya and have dinner
帰る,かえる,"to go home, return, come home",Vte + mo ii desu ka,【May I】,今日早く帰ってもいいですか　,Can I go home early today?　
借りる,かりる,to borrow,Vte + mo ii desu ka,【Is it ok to】,充電器を借りってもいいですか　,Is it ok to borrow your charger?　
勉強する,べんきょうする,to study,Vte + iru,【Continuous Action・-ing】,今日本語を勉強している,I'm studying Japanese now.
住む,すむ,"to live, reside",Vte + iru,【Continuous State・-ing】,埼玉に住んでいる　,I live in Saitama.　
入る,はいる,"to enter, get in",Vte + ita,【Continuous Action in the past・I was -ing】,昨日の夜８時ごろお風呂に入っていた　,I was taking a bath last night around 8pm.
住む,すむ,"to live, reside",Vte + ita,【Continuous State in the past・I used to】,彼女は小さな漁村に住んでいた,She lived in a small fishing village.
成功する,せいこうする,to succeed,mada ~ Vte + imasen,【I haven’t yet】,まだ成功していません,I have not yet succeeded.
登る,のぼる,"to climd, ascend, go up",Vta + koto ga arimasu,【I have been to・have done】,富士山位登ったことがあります,I have climbed Mt. Fuji.
気をつける,きをつける,"to be careful, pay attention, take care",Vta + hou ga ii desu,【Its better to】,これからも気をつけたほうがいいです,You better be careful in the future.
