Phrases,Meaning,Sentences,Translation,Level
大丈夫です,it’s alright,いえ、大丈夫ですよ。,"No, it's all right.",1
こそ頑張らなきゃ,have to do my best for sure,大変な時こそ頑張らなきゃ。,We need to work the hardest during hard days.,2
今から,from now,今からですか。,Now?,1
お願いします,please,質問は簡潔にお願いします。,Keep your questions brief.,1
お願いします,please,結論をお願いします。,Please get to the point.,1
政府として,as a govermnent,政府としてはどのようにお考えですか。,What is the government's position on this?,2
判断されること,have to be decided by,それは総理が判断されることです。,That is for the prime minister to decide.,3
まもなく降りてきます,coming down shortly,乗客はまもなく降りてきます。,Passengers will be disembarking shortly.,3
進めてほしいとのこと,they want us to proceed,正式に進めてほしいとのことです。,They want us to proceed formally.,3
多く残っていることは,much remains to be done,ゴミの問題が多く残っていることは知っています。,I know that a lot of garbage issues remain.,3
もらおう,let me have,少し時間をもらおう。,I'll need some time.,2
ご覧ください,please look at it,局長、こちらをご覧ください。,"Director-General, please have a look at this.",1
ご検討ください,please consider,公務としても最優先事案としてご検討ください。,Please consider it a priority for your office.,1
ご意向です,your wish,総理のご意向です。,It's the prime minister's wish.,2
いかがでしょうか,how about,政府の認識はいかがでしょうか。,What is the government's response?,1
その件について,about that matter,その件については適切に調査中です。,That is currently under investigation.,2
最後にしてください,make it the last one please,次の質問で最後にしてください。,The next question will be the last.,1
言うとおりにしろ,do as he says,とにかく言うとおりにしろ いいな。,"Anyway, do as I say, okay?",3
お願いしたく思います,would like to ask for,公正な情報の開示をお願いしたく思います。,I would like to ask for fair disclosure.,3
あなたの意見,your opinion,この会見はあなたの意見を述べる場ではありません。,This conference is not a forum for you to express your opinions.,1
まだ時間あるから,because we still have time,まだ時間あるからなべっこだんご 食べてくか。,You still have time. You want some nabekko dumpling soup?,3
生まれ育った青森,born and raised in aomori,生まれ育った青森を離れることになりました。,"I left Aomori, where I was born and raised.",3
修学旅行みたい,like a school trip,修学旅行みたいだね。,It feels like our school trip.,1
新しい仕込み,new trainee,新しい仕込みさんやろ。,You're the new initial apprentices.,2
これぐらい朝飯前,piece of a cake,これぐらい朝飯前ですわ。,This is a piece of cake.,2
お届けにあがりました,i’m here to deliver,おおきに お荷物お届けにあがりました。,"Many thanks, I've come to deliver a package.",3
食べていきます,go to eat,ちょっと食べていきますか。,Would you like to eat with us?,1
そのまま,leave it as is,ラップは取らんで そのまま。,Do not take the plastic wrap off.,1
おはようございます,good morning,皆さん おはようございます。,Good morning everyone.,1
どんなメール,what kind of e-mails,今日は どんなメールが 来てるのでしょうか。,I'm curious about the emails for today.,1
喜びそう,will be a pleasure,女の子が喜びそうな。,The girls would be happy.,1
等分したら,when you divide it into equal parts,鶏もも肉はまず３等分したら。,"First, divide the chicken thighs into three equal parts.",1
焼く前に,before grilling,焼く前にこういうフォークを用意します。,"Before grilling them, I'll use a fork like this.",1
香ばしく焼けたら,when it is fragrant and well done,両面が香ばしく焼けたら。,When two sides grill nicely and you can smell it.,3
ようではないか,let’s do this together,減らす努力をしようではないか。,Let's try to reduce it.,2
思い出すにつけ,every time i recall,試験での失敗を思い出すにつけ、悔しさがよみがえる。,"As I recall my failure in the exam, I feel frustrated.",2
銀座というと,when we say ginza,皆さんは銀座というと、どんなイメージを思い浮かべますか。,"When you think of Ginza, what image comes to mind?",2
若者の街と言ったら,speaking of street for young people,東京で若者の街と言ったら、そりゃあ渋谷に原宿だろう。,"If I were to say a street for young people in Tokyo, I would say Harajuku in Shibuya.",3
花と言えば,speaking of flowers,日本では花と言えば桜だ。,"In Japan, cherry blossoms are the most popular flower.",2
年々増えつつある,keeps increasing every year,交通事故は年々増えつつある。,Traffic accidents are increasing every year.,3
削減しつつ,while reducing,時間とコストを削減しつつ、情報アクセスを最適化する。,Optimize information access while reducing time and costs.,3
思わざるを得ない,cannot help but think,才能も必要なのではないかと思わざるを得ない。,I can't help but think that talent is also needed.,3
責任にほかならない,nothing short of responsibility,それは彼の責任にほかならない。,It is nothing but his responsibility.,2
数学にかけては,when it comes to mathematics,彼女は数学にかけては天才です。,She is a genius when it comes to math.,3
商談のみならず,not only business meetings but also,商談のみならずさまざまな研修等も行われています。,"Not only business meetings, but also various training programs are also held.",3
予測するといっても,even though we can predict,未来を予測するといっても限度があります。,There is a limit to how much we can predict the future.,3
飲まないことにしている,make it a habit not to drink,コーヒーを飲まないことにしているんです。,I've decided not to drink coffee.,2
走ることになっている,make it a rule to run,日本では、車は左側を走ることになっている。,"In Japan, the car is supposed to drive on the left.",2
いきたいと思います,would like to do,この話をしていきたいと思います。,I would like to talk about this.,1
何もできないまま,with not able to something,何もできないまま時間だけが過ぎていきました。,Time passed without anything being done.,1
行ってしまう,happens to go,こうした子たちが一旦外に行ってしまうと戻ってこない。,"Once these children go outside, they do not come back.",1
 ここに来て初めて,first time coming here,東北出身でない僕ですが ここに来て初めて。,"I'm not from Tohoku, but this is my first time here.",2
このように,in this way,このように高校生は 地元の良さを再発見し。,"In this way, high school students rediscover the good qualities of their hometowns.",1
気付いたら,if you notice,そこで気付いたら 一つのチームになっていた。,That's when I realized we were one team.,1
そういうアイデア,such kind of ideas,そういうアイデアを作れるんじゃないかと。,I thought we could create those ideas.,1
磨いてもらうときに,when you get them to polish,大切な眼鏡を磨いてもらうときに。,When you need to have your precious glasses polished.,2
起きているのかと言ったら,to say what’s happening,なにが自分のなかで起きているのかと言ったら。,What is going on inside me?,3
数え上げれば,if i would count up,数え上げればキリがない。,Too many to count.,3
