Sentence,Translation
巻いた寝袋。,Be shrouded in mist and lose one's way.
私たちは大勢の子供に取り巻かれた。,"When he arrived, newspaper reporters surrounded him."
機械に巻き込まれる。,I don't want to be involve in that problem.
凍った道に砂をまく。,Distribute handbills.
突風が桜の花を散らした。,The cops disperse the crowd.
風で桜が散っている。,The waves hit the rocks and scattered.
布団を敷く。,They laid the carpet on the floor.
霧に巻かれて道を見失う。,Be shrouded in mist and lose one's way.
彼が到着するや新聞記者が取り巻いた。,"When he arrived, newspaper reporters surrounded him."
私はその問題に巻き込まれたくない。,I don't want to be involve in that problem.
ビラをまく。,Distribute handbills.
警官は群衆を散らした。,The cops disperse the crowd.
波が岩に当たって散った。,The waves hit the rocks and scattered.
床にカーペットを敷いた。,They laid the carpet on the floor.
スカーフを首に巻く。,Wrap the scarf around your neck.
音楽は空気のように我々の生活を取り巻いている。,Music surrounds our lives like air.
ボートは波に巻き込まれた。,The boat was caught in the waves.
私は息子に芝生に水を撒かせた。,I let my son water the lawn.
この薬ははれ物を散らすのに効く。,This medicine is effective in reducing tumors.
霧が散り始めた。,The mist began to dissipate.
アルミホイルを敷いてピザを温める。,Heat the pizza on a sheet of aluminum foil.
村に竜巻が起こった。,A tornado hit the village.
練習問題の解答は巻末にまとめてあります。,Answers to the exercises are provided at the end of the book.
彼は昼食の後に葉巻をすった。,He smoked a cigar after lunch.
よく振ってからお飲みください。,Shake well before drinking.
野菜に塩を振る。,Sprinkle salt on the vegetables
俳優に役を振る。,Assign roles to actors.
彼女は花に殺虫剤を振りまいた。,She sprinkled insecticide on the flowers.
